ticker,symbol_yf,company_name,listing_date,shares_outstanding,board,sector,status
BBCA,BBCA.JK,Bank Central Asia Tbk.,, ,Utama,Financials,active
BBRI,BBRI.JK,Bank Rakyat Indonesia (Persero) Tbk.,, ,Utama,Financials,active
