ticker,symbol_yf,company_name,listing_date,shares_outstanding,board,status,sector
BAPI,BAPI.JK,Bhakti Agung Propertindo Tbk.,16 Sep 2019,5591980103,Pemantauan Khusus,special_monitoring,
BATA,BATA.JK,Sepatu Bata Tbk.,24 Mar 1982,1300000000,Pemantauan Khusus,special_monitoring,
BATR,BATR.JK,Benteng Api Technic Tbk.,10 Jun 2024,3025037353,Pengembangan,active,
BAUT,BAUT.JK,Mitra Angkasa Sejahtera Tbk.,28 Jan 2022,4800182969,Pemantauan Khusus,special_monitoring,
BAYU,BAYU.JK,Bayu Buana Tbk,30 Okt 1989,353220780,Utama,active,
BBCA,BBCA.JK,Bank Central Asia Tbk.,31 Mei 2000,122042299500,Utama,active,
BBHI,BBHI.JK,Allo Bank Indonesia Tbk.,12 Agt 2015,21512953877,Utama,active,
BBKP,BBKP.JK,Bank KB Indonesia Tbk.,10 Jul 2006,185819884852,Pengembangan,active,
BBLD,BBLD.JK,Buana Finance Tbk.,07 Mei 1990,1645796054,Pengembangan,active,
BBMD,BBMD.JK,Bank Mestika Dharma Tbk.,08 Jul 2013,4049189100,Pengembangan,active,
BBNI,BBNI.JK,Bank Negara Indonesia (Persero,25 Nov 1996,36924339786,Utama,active,
BBRI,BBRI.JK,Bank Rakyat Indonesia (Persero,10 Nov 2003,150043411587,Utama,active,
BBRM,BBRM.JK,Pelayaran Nasional Bina Buana,09 Jan 2013,8479490328,Pengembangan,active,
BBSI,BBSI.JK,Krom Bank Indonesia Tbk.,07 Sep 2020,3637976068,Utama,active,
BBSS,BBSS.JK,Bumi Benowo Sukses Sejahtera T,15 Apr 2020,4800016020,Pengembangan,active,
BBTN,BBTN.JK,Bank Tabungan Negara (Persero),17 Des 2009,13894099969,Utama,active,
BBYB,BBYB.JK,Bank Neo Commerce Tbk.,13 Jan 2015,13216977523,Utama,active,
BCAP,BCAP.JK,MNC Kapital Indonesia Tbk.,08 Jun 2001,42618850927,Utama,active,
BCIC,BCIC.JK,Bank JTrust Indonesia Tbk.,25 Jun 1997,17926071041,Pengembangan,active,
BCIP,BCIP.JK,Bumi Citra Permai Tbk.,11 Des 2009,1429915525,Pengembangan,active,
BDKR,BDKR.JK,Berdikari Pondasi Perkasa Tbk.,03 Mar 2023,4725101522,Utama,active,
BDMN,BDMN.JK,Bank Danamon Indonesia Tbk.,06 Des 1989,9675817341,Utama,active,
BEBS,BEBS.JK,Berkah Beton Sadaya Tbk.,10 Mar 2021,45000000000,Pemantauan Khusus,special_monitoring,
BEEF,BEEF.JK,Estika Tata Tiara Tbk.,10 Jan 2019,8120249598,Pengembangan,active,
BEER,BEER.JK,Jobubu Jarum Minahasa Tbk.,06 Jan 2023,4000000000,Pengembangan,active,
BEKS,BEKS.JK,Bank Pembangunan Daerah Banten,13 Jul 2001,51351733883,Pemantauan Khusus,special_monitoring,
BELI,BELI.JK,Global Digital Niaga Tbk.,08 Nov 2022,137218985689,Ekonomi Baru,active,
BELL,BELL.JK,Trisula Textile Industries Tbk,03 Okt 2017,7250000000,Pengembangan,active,
BESS,BESS.JK,Batulicin Nusantara Maritim Tb,09 Mar 2020,3440455528,Pengembangan,active,
BEST,BEST.JK,Bekasi Fajar Industrial Estate,10 Apr 2012,9647311150,Utama,active,
BFIN,BFIN.JK,BFI Finance  Indonesia Tbk.,16 Mei 1990,15039383620,Utama,active,
BGTG,BGTG.JK,Bank Ganesha Tbk.,12 Mei 2016,23731287132,Utama,active,
BHAT,BHAT.JK,Bhakti Multi Artha Tbk.,15 Apr 2020,5000000000,Pengembangan,active,
BHIT,BHIT.JK,MNC Asia Holding Tbk.,24 Nov 1997,86068156705,Pemantauan Khusus,special_monitoring,
BIKA,BIKA.JK,Binakarya Jaya Abadi Tbk.,14 Jul 2015,592280000,Pemantauan Khusus,special_monitoring,
BIKE,BIKE.JK,Sepeda Bersama Indonesia Tbk.,21 Mar 2022,1293916404,Pengembangan,active,
BIMA,BIMA.JK,Primarindo Asia Infrastructure,30 Agt 1994,608175716,Pemantauan Khusus,special_monitoring,
BINA,BINA.JK,Bank Ina Perdana Tbk.,16 Jan 2014,6073369498,Utama,active,
BINO,BINO.JK,Perma Plasindo Tbk.,25 Nov 2021,2275316111,Pengembangan,active,
BIPI,BIPI.JK,Astrindo Nusantara Infrastrukt,11 Feb 2010,63710196917,Pengembangan,active,
BIPP,BIPP.JK,Bhuwanatala Indah Permai Tbk.,23 Okt 1995,5028669376,Pengembangan,active,
BIRD,BIRD.JK,Blue Bird Tbk.,05 Nov 2014,2502100000,Utama,active,
BISI,BISI.JK,BISI International Tbk.,28 Mei 2007,3000000000,Utama,active,
BJBR,BJBR.JK,Bank Pembangunan Daerah Jawa B,08 Jul 2010,10416229249,Utama,active,
